,HITId,AssignmentId,WorkerId,WorkTimeInSeconds,LifetimeApprovalRate,Input.prompt,Input.response,Input.aspect,Input.definition,Input.setting,Answer.Others,Approve,Reject,Score,3Score
10,307L9TDWK7FJ8G3J1PTBQGAJOXS3NW,3V5Q80FXI7EQ6ECK580TNC2924723M,A3PUUVUDORJS8W,130,100% (128/128),Write a <b>flowery</b> passage about sunsets:,"Sunsets are so colorful and beautiful. They are the best at the end of the day. They are the last thing we see when we close our eyes. Sunsets are special because they are the only time we see the sky.<br>I love sunsets because they are so beautiful and special. Every sunset is special, but the sunset at the end of the day is really special. The sunsets are special because they are the last thing we see when we are looking at the sky.",Writing Style,"flowery writing style: Flowery writing is filled with beautiful, poetic language. It often uses metaphors and similes to describe things in a creative, descriptive way.",BLOOM,"The repetition is very strange, sunsets only happen at the end of the day.",,,-1,-1
11,307L9TDWK7FJ8G3J1PTBQGAJOXS3NW,3R8YZBNQ9R5PZGFS9VTKWBCSNCU7QX,AKQAI78JTXXC9,198,100% (149/149),Write a <b>flowery</b> passage about sunsets:,"Sunsets are so colorful and beautiful. They are the best at the end of the day. They are the last thing we see when we close our eyes. Sunsets are special because they are the only time we see the sky.<br>I love sunsets because they are so beautiful and special. Every sunset is special, but the sunset at the end of the day is really special. The sunsets are special because they are the last thing we see when we are looking at the sky.",Writing Style,"flowery writing style: Flowery writing is filled with beautiful, poetic language. It often uses metaphors and similes to describe things in a creative, descriptive way.",BLOOM,Sunsets are special because they are the only time we see the sky?!,,,-1,-1
12,31GECDVAAS9AYEK9LA5SV80H3Y566V,3NPFYT4IZMRS16R5OCS6WWLEJI5GXB,A36QGCT3MMXC4Q,96,100% (4/4),Write a <b>humorous</b> passage about love:,"“They have so many funny things, that I can’t get enough of them.”",Tone,"humorous tone: A humorous tone is a light, playful, and funny.",BLOOM,The sentence makes no reference to love or humor.,,,-2,-1
13,31GECDVAAS9AYEK9LA5SV80H3Y566V,3LYA37P8I0AQQPKN97L35RMF7WXBKZ,AKQAI78JTXXC9,232,100% (149/149),Write a <b>humorous</b> passage about love:,"“They have so many funny things, that I can’t get enough of them.”",Tone,"humorous tone: A humorous tone is a light, playful, and funny.",BLOOM,,,,-1,-1
14,31GECDVAAS9AYEK9LA5SV80H3Y566V,337RC3OW0FPGJ90BZOO4L3T1ZOPVLZ,ALDKDKRBR4LXD,448,100% (46/46),Write a <b>humorous</b> passage about love:,"“They have so many funny things, that I can’t get enough of them.”",Tone,"humorous tone: A humorous tone is a light, playful, and funny.",BLOOM,Not about love at all.,,,-2,-1
15,3J06WJ78IW7GSUEBNQL8JSWF1KMVV1,37KGEN7NJDDT5AID548CWSD3IANPP4,A35TF71Q0XO0PH,184,100% (16/16),Write a <b>humorous</b> passage about love:,"She is my queen. Unless, of course, you count my kids, my wife, or my dog. She is the reason I get up in the morning, and the reason I go to bed at night. I can often be found staring at her, lost in the beauty of her face, dreaming about the smell of her hair, and the sound of her voice. I wish I could explain what she means to me in just a few words, but I don't think I will ever be able to say it all. She is my everything.",Tone,"humorous tone: A humorous tone is a light, playful, and funny.",BLOOM,passage,,,0,0
16,3J06WJ78IW7GSUEBNQL8JSWF1KMVV1,3JCG6DTRVDDZ5YK75U2QW2TNS2MQQE,A3P9TM5PRYBH90,206,100% (31/31),Write a <b>humorous</b> passage about love:,"She is my queen. Unless, of course, you count my kids, my wife, or my dog. She is the reason I get up in the morning, and the reason I go to bed at night. I can often be found staring at her, lost in the beauty of her face, dreaming about the smell of her hair, and the sound of her voice. I wish I could explain what she means to me in just a few words, but I don't think I will ever be able to say it all. She is my everything.",Tone,"humorous tone: A humorous tone is a light, playful, and funny.",BLOOM,Second sentence is not clear in how it fits.,,,-1,-1
17,3J06WJ78IW7GSUEBNQL8JSWF1KMVV1,3S4AW7T80L5HPWHWFSNHCDTOM4K4LO,AKQAI78JTXXC9,305,100% (149/149),Write a <b>humorous</b> passage about love:,"She is my queen. Unless, of course, you count my kids, my wife, or my dog. She is the reason I get up in the morning, and the reason I go to bed at night. I can often be found staring at her, lost in the beauty of her face, dreaming about the smell of her hair, and the sound of her voice. I wish I could explain what she means to me in just a few words, but I don't think I will ever be able to say it all. She is my everything.",Tone,"humorous tone: A humorous tone is a light, playful, and funny.",BLOOM,,,,0,0
18,3QMELQS6ZEY3KXITDY8Q63RDZLIR6D,3K5TEWLKG5YET8S5ELRRTN19IKKIVX,A2CFI1X8OKYIL2,475,100% (66/66),Write a <b>humorous</b> passage about love:,"“When a man and woman get married, they are like two hammers hitting a nail. There is a sound made, but no progress made.” – Dave Barry",Tone,"humorous tone: A humorous tone is a light, playful, and funny.",BLOOM,,,,1,1
19,3QMELQS6ZEY3KXITDY8Q63RDZLIR6D,3KOPY89HMIPQCAASCT6LMTOQ4FN3J4,A3PUUVUDORJS8W,279,100% (128/128),Write a <b>humorous</b> passage about love:,"“When a man and woman get married, they are like two hammers hitting a nail. There is a sound made, but no progress made.” – Dave Barry",Tone,"humorous tone: A humorous tone is a light, playful, and funny.",BLOOM,,,,1,1
20,3QMELQS6ZEY3KXITDY8Q63RDZLIR6D,3OWEPKL08JZ4WJ20T313SHHNI197NC,AKQAI78JTXXC9,318,100% (149/149),Write a <b>humorous</b> passage about love:,"“When a man and woman get married, they are like two hammers hitting a nail. There is a sound made, but no progress made.” – Dave Barry",Tone,"humorous tone: A humorous tone is a light, playful, and funny.",BLOOM,,,,0,0
21,3RWB1RTQESA5CYL2TL1ZLMNP4YL8PP,3A1COHJ8NTIGM1L80AYW1XGM79GH8A,A173A97OFDAX9F,54,100% (5/5),Write a <b>humorous</b> passage about love:,"My beloved, I'm here and I'm here to stay.<br>  I know you're not happy but that is not my fault.<br>  I know you don't want me but I don't care.<br>  I know you want to leave me but you can't.<br>  I know you hate me but I don't care.<br>  I know it hurts you but I don't care.<br>  I know you want to break up but you can't.<br>  I know you love me but you don't know it.<br>  I know you want me to leave but you can't.<br>  I know you want me to stay but you can't.<br>  I know you want me to stay but you can't.<br>  I know you want me to stay but you can't.<br>  I know you want to break up but you can't.<br>  I know you want to break up but you can't.",Tone,"humorous tone: A humorous tone is a light, playful, and funny.",BLOOM,the response is quite repetitive with repeated lines,,,-2,-1
22,3RWB1RTQESA5CYL2TL1ZLMNP4YL8PP,3I0BTBYZA78KQ76UF6P5UI57E7H0Y5,A3PUUVUDORJS8W,85,100% (128/128),Write a <b>humorous</b> passage about love:,"My beloved, I'm here and I'm here to stay.<br>  I know you're not happy but that is not my fault.<br>  I know you don't want me but I don't care.<br>  I know you want to leave me but you can't.<br>  I know you hate me but I don't care.<br>  I know it hurts you but I don't care.<br>  I know you want to break up but you can't.<br>  I know you love me but you don't know it.<br>  I know you want me to leave but you can't.<br>  I know you want me to stay but you can't.<br>  I know you want me to stay but you can't.<br>  I know you want me to stay but you can't.<br>  I know you want to break up but you can't.<br>  I know you want to break up but you can't.",Tone,"humorous tone: A humorous tone is a light, playful, and funny.",BLOOM,,,,-2,-1
23,3RWB1RTQESA5CYL2TL1ZLMNP4YL8PP,3HWRJOOETFPMLB9FO7WVXLJARNISES,AKQAI78JTXXC9,150,100% (149/149),Write a <b>humorous</b> passage about love:,"My beloved, I'm here and I'm here to stay.<br>  I know you're not happy but that is not my fault.<br>  I know you don't want me but I don't care.<br>  I know you want to leave me but you can't.<br>  I know you hate me but I don't care.<br>  I know it hurts you but I don't care.<br>  I know you want to break up but you can't.<br>  I know you love me but you don't know it.<br>  I know you want me to leave but you can't.<br>  I know you want me to stay but you can't.<br>  I know you want me to stay but you can't.<br>  I know you want me to stay but you can't.<br>  I know you want to break up but you can't.<br>  I know you want to break up but you can't.",Tone,"humorous tone: A humorous tone is a light, playful, and funny.",BLOOM,repeats the same line many times,,,-2,-1
24,3WUVMVA7PKQD9QGNDSJF8BVY4LSAZG,3634BBTX0YHPXB6FE6MNB1YNUQ2FIC,A3PUUVUDORJS8W,89,100% (128/128),Write a passage about love that makes the reader feel <b>fearful</b>:,"“My mother always said that the most terrifying moment in her life was when my father walked into the room. She was six months pregnant by him, and you could see the fear in her eyes.”",Mood,fearful mood: A piece of writing with a fearful mood makes the reader feel fearful.,BLOOM,,,,1,1
25,3WUVMVA7PKQD9QGNDSJF8BVY4LSAZG,3E47SOBEY0JIUZM5N4WM3VDKXD7CIV,AKQAI78JTXXC9,324,100% (149/149),Write a passage about love that makes the reader feel <b>fearful</b>:,"“My mother always said that the most terrifying moment in her life was when my father walked into the room. She was six months pregnant by him, and you could see the fear in her eyes.”",Mood,fearful mood: A piece of writing with a fearful mood makes the reader feel fearful.,BLOOM,,,,0,0
26,3WUVMVA7PKQD9QGNDSJF8BVY4LSAZG,3OF2M9AATQBM8NN3FL16R9TIYZSZK2,ANHDHJMXXH1O3,184,0% (0/0),Write a passage about love that makes the reader feel <b>fearful</b>:,"“My mother always said that the most terrifying moment in her life was when my father walked into the room. She was six months pregnant by him, and you could see the fear in her eyes.”",Mood,fearful mood: A piece of writing with a fearful mood makes the reader feel fearful.,BLOOM,passage,,,1,1
27,3XABXM4AKASQCAMHTYGOLRDZ9U78QG,3DY4FPOOABBRM7VO48L07F205G2VRD,A2CFI1X8OKYIL2,435,100% (66/66),Write a passage about love that makes the reader feel <b>fearful</b>:,"the ultimate sacrifice takes place in the name of love, the ultimate sacrifice takes place in the name of love.<br>The love of god is a love that can never be destroyed or lost, the love of god is a love that can never be destroyed or lost.<br>God loves us all, no matter what we do, god loves us all, no matter what we do.<br>God loves you, even if you disbelieve in him, god loves you, even if you disbelieve in him.<br>His love is so powerful, it can even reach those who do not believe in him, his love is so powerful, it can even reach those who do not believe in him.<br>No matter what you do, no matter where you go, god will always be there for you, no matter what you do, no matter where you go, god will always be there for you.<br>He will never leave you or forsake you, he will never leave you or forsake you.<br>His love is so powerful that even god himself cannot destroy it, his love is so powerful that even god himself cannot destroy it.<br>It is a love that can never be bought or sold, it is a love that can never be bought or sold.",Mood,fearful mood: A piece of writing with a fearful mood makes the reader feel fearful.,BLOOM,,,,-2,-1
28,3XABXM4AKASQCAMHTYGOLRDZ9U78QG,3QILPRALQFI8WX7J38T96HDITLMN8M,A35TF71Q0XO0PH,459,100% (16/16),Write a passage about love that makes the reader feel <b>fearful</b>:,"the ultimate sacrifice takes place in the name of love, the ultimate sacrifice takes place in the name of love.<br>The love of god is a love that can never be destroyed or lost, the love of god is a love that can never be destroyed or lost.<br>God loves us all, no matter what we do, god loves us all, no matter what we do.<br>God loves you, even if you disbelieve in him, god loves you, even if you disbelieve in him.<br>His love is so powerful, it can even reach those who do not believe in him, his love is so powerful, it can even reach those who do not believe in him.<br>No matter what you do, no matter where you go, god will always be there for you, no matter what you do, no matter where you go, god will always be there for you.<br>He will never leave you or forsake you, he will never leave you or forsake you.<br>His love is so powerful that even god himself cannot destroy it, his love is so powerful that even god himself cannot destroy it.<br>It is a love that can never be bought or sold, it is a love that can never be bought or sold.",Mood,fearful mood: A piece of writing with a fearful mood makes the reader feel fearful.,BLOOM,passage,,,1,1
29,3XABXM4AKASQCAMHTYGOLRDZ9U78QG,3PDJHANYKF3TIN2K7V1YHJKV1EFH6D,AKQAI78JTXXC9,284,100% (149/149),Write a passage about love that makes the reader feel <b>fearful</b>:,"the ultimate sacrifice takes place in the name of love, the ultimate sacrifice takes place in the name of love.<br>The love of god is a love that can never be destroyed or lost, the love of god is a love that can never be destroyed or lost.<br>God loves us all, no matter what we do, god loves us all, no matter what we do.<br>God loves you, even if you disbelieve in him, god loves you, even if you disbelieve in him.<br>His love is so powerful, it can even reach those who do not believe in him, his love is so powerful, it can even reach those who do not believe in him.<br>No matter what you do, no matter where you go, god will always be there for you, no matter what you do, no matter where you go, god will always be there for you.<br>He will never leave you or forsake you, he will never leave you or forsake you.<br>His love is so powerful that even god himself cannot destroy it, his love is so powerful that even god himself cannot destroy it.<br>It is a love that can never be bought or sold, it is a love that can never be bought or sold.",Mood,fearful mood: A piece of writing with a fearful mood makes the reader feel fearful.,BLOOM,,,,0,0
30,3BA7SXOG2SDQOB1H6D5OQHN45G98RH,3VD82FOHK0BSQLX8LZ9RNS969M3CON,AKQAI78JTXXC9,238,100% (149/149),Write a passage about love that makes the reader feel <b>fearful</b>:,"""When they came to the place called Calvary, there they crucified him, and the criminals, one on his right and one on his left. Now Jesus said, 'Father, forgive them; for they know not what they do.' They divided his garments among them by casting lots.... When the centurion, who stood facing him, saw that he had died, he said, 'Surely this man was the Son of God!'""",Mood,fearful mood: A piece of writing with a fearful mood makes the reader feel fearful.,BLOOM,,,,-1,-1
31,3BA7SXOG2SDQOB1H6D5OQHN45G98RH,3KMS4QQVKCDG36W3E97ZOHD0MUWKFX,ALDKDKRBR4LXD,124,100% (46/46),Write a passage about love that makes the reader feel <b>fearful</b>:,"""When they came to the place called Calvary, there they crucified him, and the criminals, one on his right and one on his left. Now Jesus said, 'Father, forgive them; for they know not what they do.' They divided his garments among them by casting lots.... When the centurion, who stood facing him, saw that he had died, he said, 'Surely this man was the Son of God!'""",Mood,fearful mood: A piece of writing with a fearful mood makes the reader feel fearful.,BLOOM,Seemed spot on to me.,,,2,1
32,3BA7SXOG2SDQOB1H6D5OQHN45G98RH,3NS0A6KXCEVH61RKPUGRTH1PRICGZH,ANHDHJMXXH1O3,255,0% (0/0),Write a passage about love that makes the reader feel <b>fearful</b>:,"""When they came to the place called Calvary, there they crucified him, and the criminals, one on his right and one on his left. Now Jesus said, 'Father, forgive them; for they know not what they do.' They divided his garments among them by casting lots.... When the centurion, who stood facing him, saw that he had died, he said, 'Surely this man was the Son of God!'""",Mood,fearful mood: A piece of writing with a fearful mood makes the reader feel fearful.,BLOOM,passage,,,1,1
33,3WPCIUYH2JVFLLA0RALZCO2N4S2TDK,32KTQ2V7RN22SK5TWZKNTYJT81YM9E,AGA1PIIWM8I8D,287,0% (0/0),Write a passage about love that makes the reader feel <b>fearful</b>:,"Her face was like a rose, and her eyes were like the blue sky, and her hair was like the golden rain.<br>She was beautiful. I didn't dare to tell her how I felt.",Mood,fearful mood: A piece of writing with a fearful mood makes the reader feel fearful.,BLOOM,,,,1,1
34,3WPCIUYH2JVFLLA0RALZCO2N4S2TDK,3Y9N9SS8L8YD9OA02XKAJVTDZVJ3DJ,AKQAI78JTXXC9,265,100% (149/149),Write a passage about love that makes the reader feel <b>fearful</b>:,"Her face was like a rose, and her eyes were like the blue sky, and her hair was like the golden rain.<br>She was beautiful. I didn't dare to tell her how I felt.",Mood,fearful mood: A piece of writing with a fearful mood makes the reader feel fearful.,BLOOM,,,,-1,-1
35,3WPCIUYH2JVFLLA0RALZCO2N4S2TDK,3DBQWDE4YGLP9FOH5AM6UX3RRVNN5M,ALDKDKRBR4LXD,333,100% (46/46),Write a passage about love that makes the reader feel <b>fearful</b>:,"Her face was like a rose, and her eyes were like the blue sky, and her hair was like the golden rain.<br>She was beautiful. I didn't dare to tell her how I felt.",Mood,fearful mood: A piece of writing with a fearful mood makes the reader feel fearful.,BLOOM,Not fully a scary thing but not fully unscary.,,,-1,-1
36,3KI0JD2ZVA5T2EYE4KAK1M0DY9P67U,31QTRG6Q230NEOAEWR4V9J6FMFJYP0,A2CFI1X8OKYIL2,418,100% (66/66),Write a story about lovers with <b>indirect</b> characterization:,The girl is sitting on the grass. The boy is standing in front of her. He is near her. She is looking at him. Her eyes are full of love. The girl has a flute. The boy has a guitar. They are playing music together. The boy is singing. The girl is listening to him. Her eyes are shining. The sun is shining. It is warm. The birds are flying. They are singing. They are flying over the lovers. The girl is happy. She is smiling. She is smiling at the boy. The boy is happy. He is smiling. He is smiling at the girl. They are making love. The sun is shining. It is warm. The birds are flying. They are singing. They are flying over the lovers. The girl is happy. She is smiling. She is smiling at the boy. The boy is happy. He is smiling. He is smiling at the girl. They are making love.,Characterization,"indirect characterization: Indirect characterization is the process of describing a character through that character's thoughts, actions, speech, and dialogue.",BLOOM,,,,2,1
37,3KI0JD2ZVA5T2EYE4KAK1M0DY9P67U,3FQ5JJ512VBSRY9KCXQCWMM9OLKNK9,A35TF71Q0XO0PH,246,100% (16/16),Write a story about lovers with <b>indirect</b> characterization:,The girl is sitting on the grass. The boy is standing in front of her. He is near her. She is looking at him. Her eyes are full of love. The girl has a flute. The boy has a guitar. They are playing music together. The boy is singing. The girl is listening to him. Her eyes are shining. The sun is shining. It is warm. The birds are flying. They are singing. They are flying over the lovers. The girl is happy. She is smiling. She is smiling at the boy. The boy is happy. He is smiling. He is smiling at the girl. They are making love. The sun is shining. It is warm. The birds are flying. They are singing. They are flying over the lovers. The girl is happy. She is smiling. She is smiling at the boy. The boy is happy. He is smiling. He is smiling at the girl. They are making love.,Characterization,"indirect characterization: Indirect characterization is the process of describing a character through that character's thoughts, actions, speech, and dialogue.",BLOOM,inconsistency,,,1,1
38,3KI0JD2ZVA5T2EYE4KAK1M0DY9P67U,3KOPY89HMIPQCAASCT6LMTOQ4FS3J9,A3PUUVUDORJS8W,181,100% (128/128),Write a story about lovers with <b>indirect</b> characterization:,The girl is sitting on the grass. The boy is standing in front of her. He is near her. She is looking at him. Her eyes are full of love. The girl has a flute. The boy has a guitar. They are playing music together. The boy is singing. The girl is listening to him. Her eyes are shining. The sun is shining. It is warm. The birds are flying. They are singing. They are flying over the lovers. The girl is happy. She is smiling. She is smiling at the boy. The boy is happy. He is smiling. He is smiling at the girl. They are making love. The sun is shining. It is warm. The birds are flying. They are singing. They are flying over the lovers. The girl is happy. She is smiling. She is smiling at the boy. The boy is happy. He is smiling. He is smiling at the girl. They are making love.,Characterization,"indirect characterization: Indirect characterization is the process of describing a character through that character's thoughts, actions, speech, and dialogue.",BLOOM,,,,1,1
39,31KPKEKW5J0LQFFPFC6JXNCI4WUB0K,3JCG6DTRVDDZ5YK75U2QW2TNS2ZQQR,A35TF71Q0XO0PH,24,100% (16/16),Write a story about lovers with <b>indirect</b> characterization:,The two lovers have never met but love each other passionately. They correspond with each other but never meet. The story is about the letters and the circumstances of the loved ones.,Characterization,"indirect characterization: Indirect characterization is the process of describing a character through that character's thoughts, actions, speech, and dialogue.",BLOOM,inconsistency,,,1,1
40,31KPKEKW5J0LQFFPFC6JXNCI4WUB0K,3SLE99ER0X0LFKJ998ODS6ASB5HZBG,A3PUUVUDORJS8W,81,100% (128/128),Write a story about lovers with <b>indirect</b> characterization:,The two lovers have never met but love each other passionately. They correspond with each other but never meet. The story is about the letters and the circumstances of the loved ones.,Characterization,"indirect characterization: Indirect characterization is the process of describing a character through that character's thoughts, actions, speech, and dialogue.",BLOOM,,,,-2,-1
41,31KPKEKW5J0LQFFPFC6JXNCI4WUB0K,3LOZAJ85YN02MCJYPX7HUSRD9ZWX25,AKQAI78JTXXC9,258,100% (149/149),Write a story about lovers with <b>indirect</b> characterization:,The two lovers have never met but love each other passionately. They correspond with each other but never meet. The story is about the letters and the circumstances of the loved ones.,Characterization,"indirect characterization: Indirect characterization is the process of describing a character through that character's thoughts, actions, speech, and dialogue.",BLOOM,,,,-1,-1
42,336OE47KJB7T7JEGD0Q45UFT8TOVWB,3SNVL38CIEF90UCTN7HYGBSXPHTCK3,A2CFI1X8OKYIL2,374,100% (66/66),Write a story about lovers with <b>indirect</b> characterization:,“They were in the park. The sky was cloudless. The sun was shining bright. The wind was blowing and playing with their hair. They were sitting on a bench and talking about their future. They were at a cafe. They were drinking. The music was playing in the background. They were enjoying the music and each other’s company. They were at the cinema. They were watching a movie. They were holding each other’s hand.”,Characterization,"indirect characterization: Indirect characterization is the process of describing a character through that character's thoughts, actions, speech, and dialogue.",BLOOM,,,,-1,-1
43,336OE47KJB7T7JEGD0Q45UFT8TOVWB,3VFJCI1K49M84A5TFDME7EZQI1MGRH,A3PUUVUDORJS8W,433,100% (128/128),Write a story about lovers with <b>indirect</b> characterization:,“They were in the park. The sky was cloudless. The sun was shining bright. The wind was blowing and playing with their hair. They were sitting on a bench and talking about their future. They were at a cafe. They were drinking. The music was playing in the background. They were enjoying the music and each other’s company. They were at the cinema. They were watching a movie. They were holding each other’s hand.”,Characterization,"indirect characterization: Indirect characterization is the process of describing a character through that character's thoughts, actions, speech, and dialogue.",BLOOM,Is in quotation marks yet is description not dialogue.,,,1,1
