,HITId,AssignmentId,WorkerId,WorkTimeInSeconds,LifetimeApprovalRate,Input.prompt,Input.response,Input.aspect,Input.definition,Answer.Others,Approve,Reject,Score,3Score
10,3WGZLY9VDQ9WN1ICOCA4LS6ZO368D7,3R6P78PK7UYLKPILJ2R97T080RNGT2,A2541C8MY0BYV3,18,0% (0/0),Write a <b>flowery</b> passage about sunsets:,"The sun sets,<br><br>A brightness and a warmth<br><br>That they can't create<br><br>With all the day<br>In front of them.",Writing Style,"flowery writing style: Flowery writing is filled with beautiful, poetic language. It often uses metaphors and similes to describe things in a creative, descriptive way.",No,,,2,1
11,3WGZLY9VDQ9WN1ICOCA4LS6ZO368D7,384PI804X2ONULULG0XGCWH6RR90SJ,A2CFI1X8OKYIL2,205,100% (38/38),Write a <b>flowery</b> passage about sunsets:,"The sun sets,<br><br>A brightness and a warmth<br><br>That they can't create<br><br>With all the day<br>In front of them.",Writing Style,"flowery writing style: Flowery writing is filled with beautiful, poetic language. It often uses metaphors and similes to describe things in a creative, descriptive way.",The grammar is not great,,,1,1
12,3OREP8RUUBYI1JQATEVMIFZX917GBO,30H4UDGLTC5NK7L0DOGKFOJ87AEPME,A1OWM3QO7QAKBN,465,100% (17/17),Write a <b>flowery</b> passage about sunsets:,A sunsets picture is like a photo of a sunset.<br><br>The sun is the star and it's visible in the sky.<br><br>The sky is blue and the sun is shining.<br><br>The sky is clear and the sun is in the sky.<br><br>The sunsets are beautiful and make you feel happy.,Writing Style,"flowery writing style: Flowery writing is filled with beautiful, poetic language. It often uses metaphors and similes to describe things in a creative, descriptive way.",,,,1,1
13,3OREP8RUUBYI1JQATEVMIFZX917GBO,32SCWG5HIRRLV408Q893QSMMHAZP64,ALDKDKRBR4LXD,160,0% (0/0),Write a <b>flowery</b> passage about sunsets:,A sunsets picture is like a photo of a sunset.<br><br>The sun is the star and it's visible in the sky.<br><br>The sky is blue and the sun is shining.<br><br>The sky is clear and the sun is in the sky.<br><br>The sunsets are beautiful and make you feel happy.,Writing Style,"flowery writing style: Flowery writing is filled with beautiful, poetic language. It often uses metaphors and similes to describe things in a creative, descriptive way.",Could be a bit more descriptive but is acceptable.,,,1,1
14,3OREP8RUUBYI1JQATEVMIFZX917GBO,3X65QVEQIAAKK0UB87TZVB5C8M5LCQ,AUMH36HXXTC86,95,0% (0/0),Write a <b>flowery</b> passage about sunsets:,A sunsets picture is like a photo of a sunset.<br><br>The sun is the star and it's visible in the sky.<br><br>The sky is blue and the sun is shining.<br><br>The sky is clear and the sun is in the sky.<br><br>The sunsets are beautiful and make you feel happy.,Writing Style,"flowery writing style: Flowery writing is filled with beautiful, poetic language. It often uses metaphors and similes to describe things in a creative, descriptive way.",,,,1,1
15,3HYV4299I9J1F7WCK7LORAOKOF78E0,36H9ULYP6CHLSMQLWO7NN2DN1AYFJZ,A1OWM3QO7QAKBN,208,100% (17/17),Write a <b>flowery</b> passage about sunsets:,"The sun sets behind the mountains,<br><br>The light fading and fading,<br><br>As the leaves whisper each other,<br><br>""We're going to see the sun set soon.""",Writing Style,"flowery writing style: Flowery writing is filled with beautiful, poetic language. It often uses metaphors and similes to describe things in a creative, descriptive way.",,,,1,1
16,3HYV4299I9J1F7WCK7LORAOKOF78E0,3D8YOU6S9O7YN9847U8X0Y9LPSX6UP,AKQAI78JTXXC9,292,100% (132/132),Write a <b>flowery</b> passage about sunsets:,"The sun sets behind the mountains,<br><br>The light fading and fading,<br><br>As the leaves whisper each other,<br><br>""We're going to see the sun set soon.""",Writing Style,"flowery writing style: Flowery writing is filled with beautiful, poetic language. It often uses metaphors and similes to describe things in a creative, descriptive way.",,,,1,1
17,3HYV4299I9J1F7WCK7LORAOKOF78E0,3B1NLC6UG9JNSXPE2LIP2JZBBOYGPT,AUMH36HXXTC86,94,0% (0/0),Write a <b>flowery</b> passage about sunsets:,"The sun sets behind the mountains,<br><br>The light fading and fading,<br><br>As the leaves whisper each other,<br><br>""We're going to see the sun set soon.""",Writing Style,"flowery writing style: Flowery writing is filled with beautiful, poetic language. It often uses metaphors and similes to describe things in a creative, descriptive way.",,,,0,0
18,3CO05SML84S86MWEB9S9X2HLK6LR09,320DUZ38GH9R6MMG78D55NDZ2PLJGP,A1OWM3QO7QAKBN,406,100% (17/17),Write a <b>flowery</b> passage about sunsets:,"I've never seen anything quite like them. The sun is the core of the solar system and seems to beConsole itself. All of the other planets and stars are just small aspects of it, some working together to form a sort ofDLD, and some doing their own thing. But the sun seems to be its own thing, doing its own thing.<br><br>The sky is so dark it's pitch black, and the only thing that can be seen is the back of someone's head. It's as if you can see right through someone's face.<br><br>And then it's like someone's head comes out of the sky, and there they are, in front of your face, back in the sky, again.<br><br>And then it's like the sky is light, and all of the darkness is turned into light. It's as if the sky is a < Little World /> , and the stars are its ribs.<br><br>And then it's like someone is holding up a mirror, and the world is shown behind it. It's as if the sky is a place of learning, and the people behind the mirror are what you see.<br><br>It's as if the sky is a place of visions, and the sky is the place where you're given of them.<br><br>It's as if the sky is the place where things are born, and the sky is the place where things are made.",Writing Style,"flowery writing style: Flowery writing is filled with beautiful, poetic language. It often uses metaphors and similes to describe things in a creative, descriptive way.",,,,-1,-1
19,3CO05SML84S86MWEB9S9X2HLK6LR09,3NJM2BJS46TABL990ZM6CSEWDW1CPA,A2GSJLX3J6TMDH,202,0% (0/0),Write a <b>flowery</b> passage about sunsets:,"I've never seen anything quite like them. The sun is the core of the solar system and seems to beConsole itself. All of the other planets and stars are just small aspects of it, some working together to form a sort ofDLD, and some doing their own thing. But the sun seems to be its own thing, doing its own thing.<br><br>The sky is so dark it's pitch black, and the only thing that can be seen is the back of someone's head. It's as if you can see right through someone's face.<br><br>And then it's like someone's head comes out of the sky, and there they are, in front of your face, back in the sky, again.<br><br>And then it's like the sky is light, and all of the darkness is turned into light. It's as if the sky is a < Little World /> , and the stars are its ribs.<br><br>And then it's like someone is holding up a mirror, and the world is shown behind it. It's as if the sky is a place of learning, and the people behind the mirror are what you see.<br><br>It's as if the sky is a place of visions, and the sky is the place where you're given of them.<br><br>It's as if the sky is the place where things are born, and the sky is the place where things are made.",Writing Style,"flowery writing style: Flowery writing is filled with beautiful, poetic language. It often uses metaphors and similes to describe things in a creative, descriptive way.","There are random inputted words. ""Seem to beConsole itself."" Console is very random here. ""Form a sort ofDLD"" Makes no sense.",,,1,1
20,3CO05SML84S86MWEB9S9X2HLK6LR09,3HMVI3QICTFKXWRCBPT58NOHD4I1Y8,AUMH36HXXTC86,254,0% (0/0),Write a <b>flowery</b> passage about sunsets:,"I've never seen anything quite like them. The sun is the core of the solar system and seems to beConsole itself. All of the other planets and stars are just small aspects of it, some working together to form a sort ofDLD, and some doing their own thing. But the sun seems to be its own thing, doing its own thing.<br><br>The sky is so dark it's pitch black, and the only thing that can be seen is the back of someone's head. It's as if you can see right through someone's face.<br><br>And then it's like someone's head comes out of the sky, and there they are, in front of your face, back in the sky, again.<br><br>And then it's like the sky is light, and all of the darkness is turned into light. It's as if the sky is a < Little World /> , and the stars are its ribs.<br><br>And then it's like someone is holding up a mirror, and the world is shown behind it. It's as if the sky is a place of learning, and the people behind the mirror are what you see.<br><br>It's as if the sky is a place of visions, and the sky is the place where you're given of them.<br><br>It's as if the sky is the place where things are born, and the sky is the place where things are made.",Writing Style,"flowery writing style: Flowery writing is filled with beautiful, poetic language. It often uses metaphors and similes to describe things in a creative, descriptive way.",,,,1,1
21,3ZUE82NE1JOTLLW8FI5U9S9K0GM8FI,3U4J9857OOY2VAD3QDWU1MHTVH6B76,A1OWM3QO7QAKBN,17,100% (17/17),Write a <b>flowery</b> passage about sunsets:,"The sun sets, and in the sky across the horizon, there are see suns that can be seen as big as a house. They are so bright, and sometimes they look like people, with their faces in the sun.Sometimes the sun sets as a red, white, and black, and sometimes it just goes away, like a galaxies background.",Writing Style,"flowery writing style: Flowery writing is filled with beautiful, poetic language. It often uses metaphors and similes to describe things in a creative, descriptive way.",,,,2,1
22,3ZUE82NE1JOTLLW8FI5U9S9K0GM8FI,3RU7GD8VPYGQI2Y5XLC6RXIEZ01SP0,A3P9TM5PRYBH90,120,100% (11/11),Write a <b>flowery</b> passage about sunsets:,"The sun sets, and in the sky across the horizon, there are see suns that can be seen as big as a house. They are so bright, and sometimes they look like people, with their faces in the sun.Sometimes the sun sets as a red, white, and black, and sometimes it just goes away, like a galaxies background.",Writing Style,"flowery writing style: Flowery writing is filled with beautiful, poetic language. It often uses metaphors and similes to describe things in a creative, descriptive way.","Grammatical errors such as ""there are see suns"".",,,2,1
23,3ZUE82NE1JOTLLW8FI5U9S9K0GM8FI,32VNZTT0AHRSSUC9KCKDYP2NM164RF,AKQAI78JTXXC9,81,100% (132/132),Write a <b>flowery</b> passage about sunsets:,"The sun sets, and in the sky across the horizon, there are see suns that can be seen as big as a house. They are so bright, and sometimes they look like people, with their faces in the sun.Sometimes the sun sets as a red, white, and black, and sometimes it just goes away, like a galaxies background.",Writing Style,"flowery writing style: Flowery writing is filled with beautiful, poetic language. It often uses metaphors and similes to describe things in a creative, descriptive way.",,,,0,0
24,3VJ4PFXFKCUWNRMD75K7RJGI0R1AUN,3PDJHANYKF3TIN2K7V1YHJKVVJR6HI,A1JMVBYWF4R66N,60,0% (0/0),Write a <b>flowery</b> passage about sunsets:,"How beautiful to see the sun setting down! The sky is filled with light and love, and you can feel the warmth of the sun in your heart. This is a moment of happiness and love, and it's totally worth it.",Writing Style,"flowery writing style: Flowery writing is filled with beautiful, poetic language. It often uses metaphors and similes to describe things in a creative, descriptive way.",It could use more detail.,,,1,1
25,3VJ4PFXFKCUWNRMD75K7RJGI0R1AUN,3OVHNO1VEGOEUHHTN4FJNWYS8VUDZ6,A1OWM3QO7QAKBN,23,100% (17/17),Write a <b>flowery</b> passage about sunsets:,"How beautiful to see the sun setting down! The sky is filled with light and love, and you can feel the warmth of the sun in your heart. This is a moment of happiness and love, and it's totally worth it.",Writing Style,"flowery writing style: Flowery writing is filled with beautiful, poetic language. It often uses metaphors and similes to describe things in a creative, descriptive way.",,,,2,1
26,3VJ4PFXFKCUWNRMD75K7RJGI0R1AUN,3R6P78PK7UYLKPILJ2R97T080RGTG8,A3P9TM5PRYBH90,58,100% (11/11),Write a <b>flowery</b> passage about sunsets:,"How beautiful to see the sun setting down! The sky is filled with light and love, and you can feel the warmth of the sun in your heart. This is a moment of happiness and love, and it's totally worth it.",Writing Style,"flowery writing style: Flowery writing is filled with beautiful, poetic language. It often uses metaphors and similes to describe things in a creative, descriptive way.",No I did not observe anything like that.,,,1,1
27,3P888QFVYCHTX29X0F5KID3YMNZQOX,32RIADZIS2R4T9CMZ1KIOZ7J830S42,A1OWM3QO7QAKBN,40,100% (17/17),Write a <b>flowery</b> passage about sunsets:,"The sun sets, and in the dark, things are so bright and so still. It's a beautiful thing to see, and we're so lucky to have been given our chance to see it.",Writing Style,"flowery writing style: Flowery writing is filled with beautiful, poetic language. It often uses metaphors and similes to describe things in a creative, descriptive way.",,,,1,1
28,3P888QFVYCHTX29X0F5KID3YMNZQOX,3JPSL1DZ52MMFL0Y06DN28JDDFUNA4,A3QAL3X23LHJRV,59,0% (0/0),Write a <b>flowery</b> passage about sunsets:,"The sun sets, and in the dark, things are so bright and so still. It's a beautiful thing to see, and we're so lucky to have been given our chance to see it.",Writing Style,"flowery writing style: Flowery writing is filled with beautiful, poetic language. It often uses metaphors and similes to describe things in a creative, descriptive way.",No,,,-1,-1
29,3P888QFVYCHTX29X0F5KID3YMNZQOX,3X4JMASXCWWODZDJ5EBLM776N440B1,AGSLBIXQFSPUY,9,0% (0/0),Write a <b>flowery</b> passage about sunsets:,"The sun sets, and in the dark, things are so bright and so still. It's a beautiful thing to see, and we're so lucky to have been given our chance to see it.",Writing Style,"flowery writing style: Flowery writing is filled with beautiful, poetic language. It often uses metaphors and similes to describe things in a creative, descriptive way.",no failures.,,,2,1
30,363A7XIFWD9W06BDCVUCN5I1EYAAVC,3EFVCAY5LDWCD7GYOA1HDAW1E6J8J9,A1OWM3QO7QAKBN,474,100% (17/17),Write a <b>humorous</b> passage about love:,"Love is a feeling that comes and goes. It's like a dream, it's so sweet and it's gone so quickly. You can't remember how it felt like to love you. All you know is that it was wonderful and now it's gone.<br><br>Love is a feeling that comes and goes. It's like a dream, it's so sweet and it's gone so quickly. You can't remember how it felt like to love you. All you know is that it was wonderful and now it's gone.",Tone,"humorous tone: A humorous tone is a light, playful, and funny.",,,,2,1
31,363A7XIFWD9W06BDCVUCN5I1EYAAVC,34BBWHLWHKYR8XSA4VWNFPKNJYSWIV,A3PUUVUDORJS8W,64,100% (68/68),Write a <b>humorous</b> passage about love:,"Love is a feeling that comes and goes. It's like a dream, it's so sweet and it's gone so quickly. You can't remember how it felt like to love you. All you know is that it was wonderful and now it's gone.<br><br>Love is a feeling that comes and goes. It's like a dream, it's so sweet and it's gone so quickly. You can't remember how it felt like to love you. All you know is that it was wonderful and now it's gone.",Tone,"humorous tone: A humorous tone is a light, playful, and funny.",repetition,,,-2,-1
32,363A7XIFWD9W06BDCVUCN5I1EYAAVC,3ZY8KE4ISTQRA6GORTW02PSV3Z2QVD,ALDKDKRBR4LXD,120,0% (0/0),Write a <b>humorous</b> passage about love:,"Love is a feeling that comes and goes. It's like a dream, it's so sweet and it's gone so quickly. You can't remember how it felt like to love you. All you know is that it was wonderful and now it's gone.<br><br>Love is a feeling that comes and goes. It's like a dream, it's so sweet and it's gone so quickly. You can't remember how it felt like to love you. All you know is that it was wonderful and now it's gone.",Tone,"humorous tone: A humorous tone is a light, playful, and funny.",This didn't seemed humorous at all and more of what love feels like.,,,-1,-1
33,3K2CEDRADKOIPFGD43K2VEPGBUJTMZ,3EQHHY4HQ2FJZN7VI69B4DUUKOQG50,A1OWM3QO7QAKBN,165,100% (17/17),Write a <b>humorous</b> passage about love:,"Love is like a green apple.<br><br>It's so small and cute and it's always so close to your heart.<br><br>But it's also so powerful and dangerous.<br><br>It can make you say things that you never thought possible,<br><br>or make you do things that you never thought possible.<br><br>Love is like a storm.<br><br>It can clear your sky and bring happiness into your life.<br><br>But it's also so powerful and dangerous.<br><br>It can make you make mistakes that you may never forget,<br><br>or make you cry every single day.<br><br>Love is like a storm.<br><br>It can clear your sky and bring happiness into your life.<br><br>But it's also so powerful and dangerous.<br><br>It can make you make mistakes that you may never forget,<br><br>or make you cry every single day.",Tone,"humorous tone: A humorous tone is a light, playful, and funny.",,,,-1,-1
34,3K2CEDRADKOIPFGD43K2VEPGBUJTMZ,3LRLIPTPE0WL7FFV3TL7AG29JJHKAM,A2645IP6C6KCC4,51,0% (0/0),Write a <b>humorous</b> passage about love:,"Love is like a green apple.<br><br>It's so small and cute and it's always so close to your heart.<br><br>But it's also so powerful and dangerous.<br><br>It can make you say things that you never thought possible,<br><br>or make you do things that you never thought possible.<br><br>Love is like a storm.<br><br>It can clear your sky and bring happiness into your life.<br><br>But it's also so powerful and dangerous.<br><br>It can make you make mistakes that you may never forget,<br><br>or make you cry every single day.<br><br>Love is like a storm.<br><br>It can clear your sky and bring happiness into your life.<br><br>But it's also so powerful and dangerous.<br><br>It can make you make mistakes that you may never forget,<br><br>or make you cry every single day.",Tone,"humorous tone: A humorous tone is a light, playful, and funny.",,,,1,1
35,3K2CEDRADKOIPFGD43K2VEPGBUJTMZ,33F859I56G0ZOZJF3MI6SZ6N9K0HBC,AGSLBIXQFSPUY,29,0% (0/0),Write a <b>humorous</b> passage about love:,"Love is like a green apple.<br><br>It's so small and cute and it's always so close to your heart.<br><br>But it's also so powerful and dangerous.<br><br>It can make you say things that you never thought possible,<br><br>or make you do things that you never thought possible.<br><br>Love is like a storm.<br><br>It can clear your sky and bring happiness into your life.<br><br>But it's also so powerful and dangerous.<br><br>It can make you make mistakes that you may never forget,<br><br>or make you cry every single day.<br><br>Love is like a storm.<br><br>It can clear your sky and bring happiness into your life.<br><br>But it's also so powerful and dangerous.<br><br>It can make you make mistakes that you may never forget,<br><br>or make you cry every single day.",Tone,"humorous tone: A humorous tone is a light, playful, and funny.","tone of response is more poetic, not humorous.",,,-1,-1
36,3OID399FYPU52GSZWQGAVKNLB7JDFT,338JKRMM2GMU5PENX8IAXOMHR2BHAD,A2541C8MY0BYV3,14,0% (0/0),Write a <b>humorous</b> passage about love:,Love is a feeling that you get when you are both interested in another person and they in return is interested in you. It's a process that starts off with feeling loved and ending up with something that makes you feel important. It's a way to mental and physical unavailableness and it's the beginning of the end.,Tone,"humorous tone: A humorous tone is a light, playful, and funny.",No,,,-2,-1
37,3OID399FYPU52GSZWQGAVKNLB7JDFT,304SM51WADROE8XVEGU5WDDPIV5SBW,AKQAI78JTXXC9,86,100% (132/132),Write a <b>humorous</b> passage about love:,Love is a feeling that you get when you are both interested in another person and they in return is interested in you. It's a process that starts off with feeling loved and ending up with something that makes you feel important. It's a way to mental and physical unavailableness and it's the beginning of the end.,Tone,"humorous tone: A humorous tone is a light, playful, and funny.",,,,-1,-1
38,3OID399FYPU52GSZWQGAVKNLB7JDFT,31QTRG6Q230NEOAEWR4V9J6FGKNYP8,ALDKDKRBR4LXD,149,0% (0/0),Write a <b>humorous</b> passage about love:,Love is a feeling that you get when you are both interested in another person and they in return is interested in you. It's a process that starts off with feeling loved and ending up with something that makes you feel important. It's a way to mental and physical unavailableness and it's the beginning of the end.,Tone,"humorous tone: A humorous tone is a light, playful, and funny.",This response has nothing to do with humor.,,,-2,-1
39,35NNO802B4JYYJL2MS0YUMC753DIN7,3OS4RQUCRJ2FA3S98WU6PEUAT5RBFC,A1OWM3QO7QAKBN,23,100% (17/17),Write a <b>humorous</b> passage about love:,"Love is a love that is always there, no matter what.<br><br>It's like a tree that is always there, even when you don't see it.<br><br>It's like a man that is always there, even when you don't see him.<br><br>It's like a song that is always there, even when you don't hear it.<br><br>It's like a home that is always there, even when you don't love it.<br><br>It's like a person that is always there, even when you don't begrude being near them.<br><br>Love is a love that is never-ending, and it's never- Shutdown.",Tone,"humorous tone: A humorous tone is a light, playful, and funny.",,,,-2,-1
40,35NNO802B4JYYJL2MS0YUMC753DIN7,3VNXK88KKM5LI7Z2ARLEGU26TZ69VI,A3PUUVUDORJS8W,20,100% (68/68),Write a <b>humorous</b> passage about love:,"Love is a love that is always there, no matter what.<br><br>It's like a tree that is always there, even when you don't see it.<br><br>It's like a man that is always there, even when you don't see him.<br><br>It's like a song that is always there, even when you don't hear it.<br><br>It's like a home that is always there, even when you don't love it.<br><br>It's like a person that is always there, even when you don't begrude being near them.<br><br>Love is a love that is never-ending, and it's never- Shutdown.",Tone,"humorous tone: A humorous tone is a light, playful, and funny.",Shutdown feels like an odd ending.,,,1,1
41,35NNO802B4JYYJL2MS0YUMC753DIN7,3SKRO2GZ7BEPDR2V7ASEZF96FPAK1X,ASJ6VEA1F2APQ,215,0% (0/0),Write a <b>humorous</b> passage about love:,"Love is a love that is always there, no matter what.<br><br>It's like a tree that is always there, even when you don't see it.<br><br>It's like a man that is always there, even when you don't see him.<br><br>It's like a song that is always there, even when you don't hear it.<br><br>It's like a home that is always there, even when you don't love it.<br><br>It's like a person that is always there, even when you don't begrude being near them.<br><br>Love is a love that is never-ending, and it's never- Shutdown.",Tone,"humorous tone: A humorous tone is a light, playful, and funny.",none,,,1,1
42,3HEM8MA6IIZBI2LYFFIZ7D8OWSVQPE,37TD41K0ARW7ODP1SGQ07XJ70GJSCH,A1OWM3QO7QAKBN,210,100% (17/17),Write a <b>humorous</b> passage about love:,Love is a feeling that you get when you are both interested in other people and happy with the situation. It's a sense of knowing both yourself and your partner that makes it work. Love is <br>the ability to build something beautiful from anything.<br><br><br><br>Love is the best thing that's ever happened to relationships. It's the that's makes them work. It's the two of you that understand each other that makes this work. Love is <br>the best way to show your partner that you're proud of them. It's the two of you that make this work.,Tone,"humorous tone: A humorous tone is a light, playful, and funny.",,,,1,1
43,3HEM8MA6IIZBI2LYFFIZ7D8OWSVQPE,3B4YI393VJJNVUEXP2G0M2NPMK9SSH,A3P9TM5PRYBH90,63,100% (11/11),Write a <b>humorous</b> passage about love:,Love is a feeling that you get when you are both interested in other people and happy with the situation. It's a sense of knowing both yourself and your partner that makes it work. Love is <br>the ability to build something beautiful from anything.<br><br><br><br>Love is the best thing that's ever happened to relationships. It's the that's makes them work. It's the two of you that understand each other that makes this work. Love is <br>the best way to show your partner that you're proud of them. It's the two of you that make this work.,Tone,"humorous tone: A humorous tone is a light, playful, and funny.",Poorly presented and grammar mistakes.,,,-2,-1
44,3HEM8MA6IIZBI2LYFFIZ7D8OWSVQPE,352YTHGRO50F30Y6O78JKL0HZSI4HS,ASJ6VEA1F2APQ,30,0% (0/0),Write a <b>humorous</b> passage about love:,Love is a feeling that you get when you are both interested in other people and happy with the situation. It's a sense of knowing both yourself and your partner that makes it work. Love is <br>the ability to build something beautiful from anything.<br><br><br><br>Love is the best thing that's ever happened to relationships. It's the that's makes them work. It's the two of you that understand each other that makes this work. Love is <br>the best way to show your partner that you're proud of them. It's the two of you that make this work.,Tone,"humorous tone: A humorous tone is a light, playful, and funny.",,,,0,0
45,3FI30CQHWT6G4Q14H1M06OM8FN4B6H,3OSWBBLG1OKPPMHEMMRYQBIH0VKDXX,A1OWM3QO7QAKBN,354,100% (17/17),Write a <b>humorous</b> passage about love:,"Love is the best thing that's ever happened to us.<br><br>Love is the best thing that's ever happened to us, and it's because love is our best option.<br><br>Love is the best thing that's ever happened to us, and it's the only thing that's ever been required of us.<br><br>Love is the best thing that's ever happened to us because it's the only thing that's ever been required of us.<br><br>Love is the best thing that's ever happened to us because it's the only thing that's ever been required of us.<br><br>Love is the best thing that's ever happened to us, and it's the only thing that's ever been required of us.<br><br>Love is the best thing that's ever happened to us, and it's the only thing that's ever been required of us.",Tone,"humorous tone: A humorous tone is a light, playful, and funny.",,,,-1,-1
46,3FI30CQHWT6G4Q14H1M06OM8FN4B6H,3RWE2M8QWRXQE82G84GUD2704S60NC,AF0W4ZBY7VXOU,263,0% (0/0),Write a <b>humorous</b> passage about love:,"Love is the best thing that's ever happened to us.<br><br>Love is the best thing that's ever happened to us, and it's because love is our best option.<br><br>Love is the best thing that's ever happened to us, and it's the only thing that's ever been required of us.<br><br>Love is the best thing that's ever happened to us because it's the only thing that's ever been required of us.<br><br>Love is the best thing that's ever happened to us because it's the only thing that's ever been required of us.<br><br>Love is the best thing that's ever happened to us, and it's the only thing that's ever been required of us.<br><br>Love is the best thing that's ever happened to us, and it's the only thing that's ever been required of us.",Tone,"humorous tone: A humorous tone is a light, playful, and funny.",It is not funny. There seems to be no punchline,,,-2,-1
